"","id","animal","time","y","Twin","Sex","Horn","BirthYear","PopDensBirth","MumID","jdate","PopDensCap","CapAgeYears","horngeno","trait","measure","family","MumAge","PopDens","AgeMC","jdateMC","MumAgeMC","PopDensMC"
"95",6247,6247,0,1,0,2,3,1992,321,2168,0,NA,0,NA,"s","S1","threshold",3,321,0,0,-1.69617732943987,-175.782900943396
"96",8668,8668,0,1,0,2,3,1992,321,1741,0,NA,0,NA,"s","S1","threshold",5,321,0,0,0.303822670560128,-175.782900943396
"97",12393,12393,0,1,0,2,3,1992,321,2363,0,NA,0,NA,"s","S1","threshold",2,321,0,0,-2.69617732943987,-175.782900943396
"101",1742,1742,0,1,0,2,3,1992,321,1665,0,NA,0,NA,"s","S1","threshold",6,321,0,0,1.30382267056013,-175.782900943396
"104",9730,9730,0,1,1,2,3,1992,321,1586,0,NA,0,NA,"s","S1","threshold",7,321,0,0,2.30382267056013,-175.782900943396
"107",9905,9905,0,1,0,2,3,1992,321,1891,0,NA,0,NA,"s","S1","threshold",5,321,0,0,0.303822670560128,-175.782900943396
"111",121,121,0,1,1,2,3,1993,443,1899,0,NA,0,NA,"s","S1","threshold",6,443,0,0,1.30382267056013,-53.7829009433962
"112",8524,8524,0,1,0,2,1,1993,443,2365,0,NA,0,NA,"s","S1","threshold",3,443,0,0,-1.69617732943987,-53.7829009433962
"114",13065,13065,0,1,0,2,3,1992,321,2376,0,NA,0,NA,"s","S1","threshold",2,321,0,0,-2.69617732943987,-175.782900943396
"120",13565,13565,0,1,0,2,3,1993,443,2409,0,NA,0,NA,"s","S1","threshold",2,443,0,0,-2.69617732943987,-53.7829009433962
"121",6372,6372,0,1,0,2,3,1993,443,2366,0,NA,0,NA,"s","S1","threshold",3,443,0,0,-1.69617732943987,-53.7829009433962
"122",6105,6105,0,1,0,2,3,1993,443,2643,0,NA,0,NA,"s","S1","threshold",1,443,0,0,-3.69617732943987,-53.7829009433962
"129",11881,11881,0,1,0,2,3,1989,211,1817,0,NA,0,NA,"s","S1","threshold",2,211,0,0,-2.69617732943987,-285.782900943396
"140",3727,3727,0,1,0,2,3,1993,443,2479,0,NA,0,NA,"s","S1","threshold",2,443,0,0,-2.69617732943987,-53.7829009433962
"141",10602,10602,0,1,0,2,3,1993,443,2168,0,NA,0,NA,"s","S1","threshold",4,443,0,0,-0.696177329439872,-53.7829009433962
"142",10285,10285,0,1,0,2,3,1993,443,2379,0,NA,0,NA,"s","S1","threshold",3,443,0,0,-1.69617732943987,-53.7829009433962
"151",8381,8381,0,1,1,2,3,1993,443,1820,0,NA,0,NA,"s","S1","threshold",6,443,0,0,1.30382267056013,-53.7829009433962
"159",7499,7499,0,1,0,2,3,1995,357,1741,0,NA,0,NA,"s","S1","threshold",8,357,0,0,3.30382267056013,-139.782900943396
"167",8341,8341,0,1,0,2,3,1995,357,2668,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"168",13645,13645,0,1,0,2,3,1995,357,2361,0,NA,0,NA,"s","S1","threshold",5,357,0,0,0.303822670560128,-139.782900943396
"172",869,869,0,1,1,2,3,1995,357,2373,0,NA,0,NA,"s","S1","threshold",5,357,0,0,0.303822670560128,-139.782900943396
"175",9097,9097,0,1,0,2,3,1995,357,2631,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"177",11330,11330,0,1,0,2,3,1995,357,1876,0,NA,0,NA,"s","S1","threshold",8,357,0,0,3.30382267056013,-139.782900943396
"181",3001,3001,0,1,0,2,3,1995,357,2707,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"184",1020,1020,0,1,0,2,3,1995,357,2942,0,NA,0,NA,"s","S1","threshold",2,357,0,0,-2.69617732943987,-139.782900943396
"185",9569,9569,0,1,0,2,3,1995,357,2641,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"186",722,722,0,1,0,2,1,1995,357,2170,0,NA,0,NA,"s","S1","threshold",6,357,0,0,1.30382267056013,-139.782900943396
"187",174,174,0,1,0,2,3,1995,357,2658,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"193",13530,13530,0,1,1,2,3,1995,357,2073,0,NA,0,NA,"s","S1","threshold",7,357,0,0,2.30382267056013,-139.782900943396
"194",5151,5151,0,1,0,2,3,1995,357,2706,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"197",11678,11678,0,1,0,2,3,1995,357,2536,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"198",8162,8162,0,1,1,2,3,1995,357,2572,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"200",4727,4727,0,1,0,2,1,1995,357,2409,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"206",3423,3423,0,1,0,2,3,1995,357,2443,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"208",11587,11587,0,1,0,2,3,1995,357,2698,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"210",12660,12660,0,1,0,2,1,1995,357,2064,0,NA,0,NA,"s","S1","threshold",7,357,0,0,2.30382267056013,-139.782900943396
"211",9827,9827,0,1,0,2,1,1995,357,2223,0,NA,0,NA,"s","S1","threshold",5,357,0,0,0.303822670560128,-139.782900943396
"213",634,634,0,1,1,2,3,1995,357,2676,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"216",1334,1334,0,1,0,2,3,1995,357,2523,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"217",304,304,0,1,0,2,3,1995,357,2534,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"218",8553,8553,0,1,1,2,3,1995,357,1664,0,NA,0,NA,"s","S1","threshold",9,357,0,0,4.30382267056013,-139.782900943396
"219",13899,13899,0,1,1,2,3,1995,357,1880,0,NA,0,NA,"s","S1","threshold",8,357,0,0,3.30382267056013,-139.782900943396
"220",6733,6733,0,1,0,2,3,1995,357,2169,0,NA,0,NA,"s","S1","threshold",6,357,0,0,1.30382267056013,-139.782900943396
"221",12208,12208,0,1,0,2,3,1995,357,2632,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"224",2469,2469,0,1,0,2,3,1995,357,2172,0,NA,0,NA,"s","S1","threshold",6,357,0,0,1.30382267056013,-139.782900943396
"226",3901,3901,0,1,0,2,3,1995,357,2927,0,NA,0,NA,"s","S1","threshold",2,357,0,0,-2.69617732943987,-139.782900943396
"228",12579,12579,0,1,0,2,3,1995,357,2363,0,NA,0,NA,"s","S1","threshold",5,357,0,0,0.303822670560128,-139.782900943396
"229",13550,13550,0,1,0,2,3,1993,443,1784,0,NA,0,NA,"s","S1","threshold",6,443,0,0,1.30382267056013,-53.7829009433962
"232",2466,2466,0,1,0,2,3,1995,357,2376,0,NA,0,NA,"s","S1","threshold",5,357,0,0,0.303822670560128,-139.782900943396
"235",11734,11734,0,1,0,2,3,1995,357,2688,0,NA,0,NA,"s","S1","threshold",3,357,0,0,-1.69617732943987,-139.782900943396
"238",4443,4443,0,1,0,2,3,1994,435,2168,0,NA,0,NA,"s","S1","threshold",5,435,0,0,0.303822670560128,-61.7829009433962
"239",1415,1415,0,1,0,2,3,1995,357,2476,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"241",3142,3142,0,1,0,2,3,1996,575,3111,0,NA,0,NA,"s","S1","threshold",2,575,0,0,-2.69617732943987,78.2170990566038
"242",14271,14271,0,1,0,2,3,1996,575,3048,0,NA,0,NA,"s","S1","threshold",2,575,0,0,-2.69617732943987,78.2170990566038
"243",13910,13910,0,1,1,2,3,1996,575,2829,0,NA,0,NA,"s","S1","threshold",3,575,0,0,-1.69617732943987,78.2170990566038
"246",4313,4313,0,1,0,2,3,1996,575,2631,0,NA,0,NA,"s","S1","threshold",4,575,0,0,-0.696177329439872,78.2170990566038
"248",4945,4945,0,1,0,2,3,1996,575,2379,0,NA,0,NA,"s","S1","threshold",6,575,0,0,1.30382267056013,78.2170990566038
"249",8779,8779,0,1,1,2,3,1996,575,2641,0,NA,0,NA,"s","S1","threshold",4,575,0,0,-0.696177329439872,78.2170990566038
"260",4570,4570,0,1,0,2,3,1996,575,2860,0,NA,0,NA,"s","S1","threshold",3,575,0,0,-1.69617732943987,78.2170990566038
"262",13568,13568,0,1,0,2,1,1996,575,2892,0,NA,0,NA,"s","S1","threshold",3,575,0,0,-1.69617732943987,78.2170990566038
"265",13532,13532,0,1,0,2,3,1996,575,2369,0,NA,0,NA,"s","S1","threshold",6,575,0,0,1.30382267056013,78.2170990566038
"266",10980,10980,0,1,0,2,3,1996,575,1741,0,NA,0,NA,"s","S1","threshold",9,575,0,0,4.30382267056013,78.2170990566038
"267",10218,10218,0,1,0,2,3,1996,575,2898,0,NA,0,NA,"s","S1","threshold",3,575,0,0,-1.69617732943987,78.2170990566038
"272",11188,11188,0,1,0,2,3,1996,575,2176,0,NA,0,NA,"s","S1","threshold",7,575,0,0,2.30382267056013,78.2170990566038
"277",2566,2566,0,1,0,2,3,1996,575,2666,0,NA,0,NA,"s","S1","threshold",4,575,0,0,-0.696177329439872,78.2170990566038
"282",3947,3947,0,1,0,2,3,1997,542,2853,0,NA,0,NA,"s","S1","threshold",4,542,0,0,-0.696177329439872,45.2170990566038
"283",12976,12976,0,1,0,2,3,1997,542,3260,0,NA,0,NA,"s","S1","threshold",2,542,0,0,-2.69617732943987,45.2170990566038
"285",6759,6759,0,1,0,2,3,1997,542,2799,0,NA,0,NA,"s","S1","threshold",4,542,0,0,-0.696177329439872,45.2170990566038
"287",8441,8441,0,1,0,2,3,1997,542,1784,0,NA,0,NA,"s","S1","threshold",10,542,0,0,5.30382267056013,45.2170990566038
"289",1308,1308,0,1,0,2,3,1997,542,2572,0,NA,0,NA,"s","S1","threshold",6,542,0,0,1.30382267056013,45.2170990566038
"291",2,2,0,1,0,2,3,1997,542,2421,0,NA,0,NA,"s","S1","threshold",6,542,0,0,1.30382267056013,45.2170990566038
"292",4564,4564,0,1,0,2,3,1996,575,2323,0,NA,0,NA,"s","S1","threshold",6,575,0,0,1.30382267056013,78.2170990566038
"294",5725,5725,0,1,0,2,3,1997,542,3237,0,NA,0,NA,"s","S1","threshold",2,542,0,0,-2.69617732943987,45.2170990566038
"295",10809,10809,0,1,0,2,1,1997,542,2365,0,NA,0,NA,"s","S1","threshold",7,542,0,0,2.30382267056013,45.2170990566038
"297",250,250,0,1,0,2,3,1997,542,2260,0,NA,0,NA,"s","S1","threshold",7,542,0,0,2.30382267056013,45.2170990566038
"305",1204,1204,0,1,0,2,3,1997,542,2245,0,NA,0,NA,"s","S1","threshold",7,542,0,0,2.30382267056013,45.2170990566038
"313",9847,9847,0,1,0,2,3,1996,575,2168,0,NA,0,NA,"s","S1","threshold",7,575,0,0,2.30382267056013,78.2170990566038
"314",7756,7756,0,1,0,2,3,1996,575,2375,0,NA,0,NA,"s","S1","threshold",6,575,0,0,1.30382267056013,78.2170990566038
"315",2514,2514,0,1,1,2,3,1996,575,1877,0,NA,0,NA,"s","S1","threshold",9,575,0,0,4.30382267056013,78.2170990566038
"316",10470,10470,0,1,0,2,3,1995,357,2571,0,NA,0,NA,"s","S1","threshold",4,357,0,0,-0.696177329439872,-139.782900943396
"324",14192,14192,0,1,0,2,3,1998,591,2659,0,NA,0,NA,"s","S1","threshold",6,591,0,0,1.30382267056013,94.2170990566038
"338",2039,2039,0,1,0,2,3,1997,542,3282,0,NA,0,NA,"s","S1","threshold",2,542,0,0,-2.69617732943987,45.2170990566038
"342",13471,13471,0,1,0,2,3,1999,325,2853,0,NA,0,NA,"s","S1","threshold",6,325,0,0,1.30382267056013,-171.782900943396
"343",2920,2920,0,1,0,2,3,1999,325,3319,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"344",865,865,0,1,0,2,3,1999,325,3471,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
