"","animal","dam","sire"
"267",10788,NA,NA
"268",7351,NA,NA
"269",7229,NA,NA
"270",13085,NA,NA
"271",9533,NA,NA
"272",7607,NA,NA
"273",4139,NA,NA
"274",2090,NA,NA
"275",14259,NA,NA
"276",12415,NA,NA
"277",5061,NA,NA
"278",8267,NA,NA
"279",254,NA,NA
"280",8828,NA,NA
"281",3112,NA,NA
"282",4639,NA,NA
"283",5165,NA,NA
"284",13310,NA,NA
"285",11041,NA,NA
"286",9076,NA,NA
"287",8489,NA,NA
"288",4660,NA,NA
"289",7556,NA,NA
"290",14238,NA,NA
"291",1187,NA,NA
"292",2551,NA,NA
"293",2496,NA,NA
"294",11607,NA,NA
"295",2177,NA,NA
"296",1267,NA,NA
"297",4616,NA,NA
"298",986,NA,NA
"299",3942,NA,NA
"300",2422,NA,NA
"301",7723,NA,NA
"302",12091,NA,NA
"303",13016,NA,NA
"304",10496,NA,NA
"305",2440,NA,NA
"306",7041,NA,NA
"307",1142,NA,NA
"308",14041,NA,NA
"309",5370,NA,NA
"310",1352,NA,NA
"311",12892,NA,NA
"312",440,NA,NA
"313",10381,NA,NA
"314",6254,NA,NA
"315",13213,NA,NA
"316",9480,NA,NA
"317",11254,NA,NA
"318",11558,NA,NA
"319",5603,NA,NA
"320",1798,NA,NA
"321",7565,NA,NA
"322",14249,NA,NA
"323",1225,NA,NA
"324",5331,NA,NA
"325",2011,NA,NA
"326",6186,NA,NA
"327",5607,NA,NA
"328",8294,NA,NA
"329",13989,NA,NA
"330",89,NA,NA
"331",503,NA,NA
"332",7237,NA,NA
"333",7912,NA,NA
"334",7115,NA,NA
"335",4782,NA,NA
"336",12265,NA,NA
"337",13115,NA,NA
"338",9602,NA,NA
"339",11055,NA,NA
"340",6059,NA,NA
"341",11685,NA,NA
"342",13821,NA,NA
"343",514,NA,NA
"344",11094,NA,NA
"345",4780,NA,NA
"346",7364,NA,NA
"347",13075,NA,NA
"348",9460,NA,NA
"349",12341,NA,NA
"350",9927,NA,NA
"351",11043,NA,NA
"352",7755,NA,NA
"353",7999,NA,NA
"354",2531,NA,NA
"355",2439,NA,NA
"356",1661,NA,NA
"357",13001,NA,NA
"358",4643,NA,NA
"359",7474,NA,NA
"360",9911,NA,NA
"361",11295,NA,NA
"362",13956,NA,NA
"363",12598,NA,NA
"364",7207,NA,NA
"365",7816,NA,NA
"366",12258,NA,NA
"367",8673,NA,NA
"368",5527,NA,NA
"369",8782,NA,NA
"370",13357,NA,NA
"371",5147,NA,NA
"372",8814,NA,NA
"373",6289,NA,NA
"374",10156,NA,NA
"375",12549,NA,NA
"376",606,NA,NA
"377",7670,NA,NA
"378",952,NA,NA
"379",12881,NA,NA
"380",10591,NA,NA
"381",5835,NA,NA
"382",495,NA,NA
"383",9206,NA,NA
"384",10926,NA,NA
"385",12024,NA,NA
"386",13858,NA,NA
"387",10292,NA,NA
"388",1070,NA,NA
"389",10131,NA,NA
"390",3088,NA,NA
"391",12157,NA,NA
"392",13796,NA,NA
"393",13050,NA,NA
"394",13176,NA,NA
"395",4984,NA,NA
"396",5629,NA,NA
"397",732,NA,NA
"398",13183,NA,NA
"399",1838,NA,NA
"400",5584,NA,NA
"401",8185,NA,NA
"402",8115,NA,NA
"403",6276,NA,NA
"404",14234,NA,NA
"405",10415,NA,NA
"406",7516,NA,NA
"407",12524,NA,NA
"408",8600,NA,NA
"409",4527,NA,NA
"410",687,NA,NA
"411",1094,NA,NA
"412",7791,NA,NA
"413",12988,NA,NA
"414",12387,NA,NA
"415",12283,NA,NA
"416",13335,NA,NA
"417",12163,NA,NA
"418",2157,NA,NA
"419",2167,NA,NA
"420",11389,NA,NA
"421",4614,NA,NA
"422",3010,NA,NA
"423",11510,NA,NA
"424",12718,NA,NA
"425",13027,NA,NA
"426",12310,NA,NA
"427",5713,NA,NA
"428",9295,NA,NA
"429",1010,NA,NA
"430",6427,NA,NA
"431",2918,NA,NA
"432",791,NA,NA
"433",3286,NA,NA
"434",6970,NA,NA
"435",12404,NA,NA
"436",13207,NA,NA
"437",6740,NA,NA
"438",2366,NA,NA
"439",9139,NA,NA
"440",6717,NA,NA
"441",11011,NA,NA
"442",10782,NA,NA
"443",7589,NA,NA
"444",11908,NA,NA
"445",11989,NA,NA
"446",11392,NA,NA
"447",93,NA,NA
"448",8657,NA,NA
"449",1991,NA,NA
"450",3700,NA,NA
"451",113,NA,NA
"452",14261,NA,NA
"453",10687,NA,NA
"454",11150,NA,NA
"455",11390,NA,NA
"456",6606,NA,NA
"457",11986,NA,NA
"458",11036,NA,NA
"459",13221,NA,NA
"460",6057,NA,NA
"461",3734,NA,NA
"462",3538,NA,NA
"463",9148,NA,NA
"464",4875,NA,NA
"465",507,NA,NA
"466",945,NA,NA
"467",6428,NA,NA
"468",2239,NA,NA
"469",12053,NA,NA
"470",13954,NA,NA
"471",5085,NA,NA
"472",7799,NA,NA
"473",2390,NA,NA
"474",13082,NA,NA
"475",2354,NA,NA
"476",6069,NA,NA
"477",1462,NA,NA
"478",6535,NA,NA
"479",5066,NA,NA
"480",10905,NA,NA
"481",3586,NA,NA
"482",7416,NA,NA
"483",11416,NA,NA
"484",11942,NA,NA
"485",1268,NA,NA
"486",13813,NA,NA
"487",12346,NA,NA
"488",8487,NA,NA
"489",6929,NA,NA
"490",758,NA,NA
"491",13418,NA,NA
"492",10816,NA,NA
"493",4333,NA,NA
"494",9531,NA,NA
"495",2555,NA,NA
"496",7413,NA,NA
"497",12418,NA,NA
"498",5485,NA,NA
"499",1368,NA,NA
"500",13461,NA,NA
"501",1090,NA,NA
"502",9218,NA,NA
"503",2106,NA,NA
"504",10464,NA,NA
"505",1654,NA,NA
"506",798,NA,NA
"507",13069,NA,NA
"508",5111,NA,NA
"509",4076,NA,NA
"510",10358,NA,NA
"511",6867,NA,NA
"512",5873,NA,NA
"513",9182,NA,NA
"514",7069,NA,NA
"515",1535,NA,NA
"516",12960,NA,NA
"517",10660,NA,NA
"518",3115,NA,NA
"519",1246,NA,NA
"520",8837,NA,NA
"521",9564,NA,NA
"522",1164,NA,NA
"523",9818,NA,NA
"524",741,NA,NA
"525",1397,NA,NA
"526",4129,NA,NA
"527",5998,NA,NA
"528",7505,NA,NA
"529",12003,NA,NA
"530",10748,NA,NA
"531",3396,NA,NA
"532",5464,NA,NA
"533",8654,NA,NA
"534",11955,NA,NA
"535",10855,NA,NA
"536",13596,NA,NA
"537",9024,NA,NA
"538",8579,NA,NA
"539",1648,NA,NA
"540",29,NA,NA
"541",11993,NA,NA
"542",9021,NA,NA
"543",7214,NA,NA
"544",6298,NA,NA
"545",3855,NA,NA
"546",306,NA,NA
"547",2663,NA,NA
"548",3943,NA,NA
"549",12518,NA,NA
"550",2582,NA,NA
"551",10277,NA,NA
"552",3896,NA,NA
"553",13995,NA,NA
"554",14019,NA,NA
"555",938,NA,NA
"556",7648,NA,NA
"557",5438,NA,NA
"558",13809,NA,NA
"559",1557,NA,NA
"560",1483,NA,NA
"561",6089,NA,NA
"562",12937,NA,NA
"563",13157,NA,NA
"564",11865,NA,NA
"565",2713,NA,NA
"566",10534,NA,NA
"567",10256,NA,NA
"568",10093,NA,NA
"569",1551,NA,NA
"570",4927,NA,NA
"571",4040,NA,NA
"572",1145,NA,NA
"573",13061,NA,NA
"574",13430,NA,NA
"575",5514,NA,NA
"576",3712,NA,NA
"577",10553,NA,NA
"578",13233,NA,NA
"579",3199,NA,NA
"580",11929,NA,NA
"581",6151,NA,NA
"582",397,NA,NA
"583",7317,NA,NA
"584",1628,NA,NA
"585",6721,NA,NA
"586",8822,NA,NA
"587",5362,NA,NA
"588",7660,NA,NA
"589",7435,NA,NA
"590",9984,NA,NA
"591",11545,NA,NA
"592",340,NA,NA
"593",10522,NA,NA
"594",5187,NA,NA
"595",5129,NA,NA
"596",1971,NA,NA
"597",413,NA,NA
"598",10078,NA,NA
"599",256,NA,NA
"600",6561,NA,NA
"601",3365,NA,NA
"602",6743,NA,NA
"603",4852,NA,NA
"604",3951,NA,NA
"605",2781,NA,NA
"606",11197,NA,NA
"607",8433,NA,NA
"608",7559,NA,NA
"609",14329,NA,NA
"610",2306,NA,NA
"611",11360,NA,NA
"612",11574,NA,NA
"613",12020,NA,NA
"614",10703,NA,NA
"615",12950,NA,NA
"616",12312,NA,NA
"617",2107,NA,NA
"618",12863,NA,NA
"619",7920,NA,NA
"620",5880,NA,NA
"621",6770,NA,NA
