"","animal","dam","sire"
"2724",1828,NA,NA
"2725",5010,NA,NA
"2726",566,NA,NA
"2727",5088,NA,NA
"2728",3421,NA,NA
"2729",14283,NA,NA
"2730",8940,NA,NA
"2731",1431,NA,NA
"2732",3170,NA,NA
"2733",5565,NA,NA
"2734",1943,NA,NA
"2735",889,NA,NA
"2736",11830,NA,NA
"2737",6875,NA,NA
"2738",8963,NA,NA
"2739",12431,NA,NA
"2740",2572,NA,NA
"2741",10172,NA,NA
"2742",4863,NA,NA
"2743",13972,NA,NA
"2744",3692,NA,NA
"2745",1842,NA,NA
"2746",13929,NA,NA
"2747",5114,NA,NA
"2748",3271,NA,NA
"2749",12055,NA,NA
"2750",3819,NA,NA
"2751",6072,NA,NA
"2752",8423,NA,NA
"2753",12824,NA,NA
"2754",11130,NA,NA
"2755",1295,NA,NA
"2756",11592,NA,NA
"2757",6676,NA,NA
"2758",7299,NA,NA
"2759",6828,NA,NA
"2760",8150,NA,NA
"2761",5609,NA,NA
"2762",233,NA,NA
"2763",1932,NA,NA
"2764",2191,NA,NA
"2765",12369,NA,NA
"2766",10880,NA,NA
"2767",3662,NA,NA
"2768",5779,NA,NA
"2769",4928,NA,NA
"2770",10351,NA,NA
"2771",7561,NA,NA
"2772",868,NA,NA
"2773",13793,NA,NA
"2774",4787,NA,NA
"2775",12682,NA,NA
"2776",7480,NA,NA
"2777",6479,NA,NA
"2778",6818,NA,NA
"2779",12667,NA,NA
"2780",9107,NA,NA
"2781",3584,NA,NA
"2782",6922,NA,NA
"2783",3779,NA,NA
"2784",6453,NA,NA
"2785",6603,NA,NA
"2786",13518,NA,NA
"2787",6135,NA,NA
"2788",12255,NA,NA
"2789",6126,NA,NA
"2790",4732,NA,NA
"2791",6399,NA,NA
"2792",5374,NA,NA
"2793",8494,NA,NA
"2794",4423,NA,NA
"2795",5255,NA,NA
"2796",6483,NA,NA
"2797",4651,NA,NA
"2798",11173,NA,NA
"2799",12520,NA,NA
"2800",7180,NA,NA
"2801",10352,NA,NA
"2802",13493,NA,NA
"2803",5516,NA,NA
"2804",1709,NA,NA
"2805",13354,NA,NA
"2806",1014,NA,NA
"2807",6737,NA,NA
"2808",5098,NA,NA
"2809",9441,NA,NA
"2810",4595,NA,NA
"2811",6161,NA,NA
"2812",5534,NA,NA
"2813",10512,NA,NA
"2814",8679,NA,NA
"2815",8747,NA,NA
"2816",826,NA,NA
"2817",4368,NA,NA
"2818",8387,NA,NA
"2819",9613,NA,NA
"2820",11093,NA,NA
"2821",12535,NA,NA
"2822",8756,NA,NA
"2823",6735,NA,NA
"2824",7311,NA,NA
"2825",12719,NA,NA
"2826",12594,NA,NA
"2827",105,NA,NA
"2828",5860,NA,NA
"2829",3120,NA,NA
"2830",11571,NA,NA
"2831",13543,NA,NA
"2832",11623,NA,NA
"2833",6141,NA,NA
"2834",11030,NA,NA
"2835",5020,NA,NA
"2836",1506,NA,NA
"2837",112,NA,NA
"2838",1716,NA,NA
"2839",12226,NA,NA
"2840",8727,NA,NA
"2841",8192,NA,NA
"2842",539,NA,NA
"2843",4457,NA,NA
"2844",2904,NA,NA
"2845",10050,NA,NA
"2846",2474,NA,NA
"2847",6358,NA,NA
"2848",6960,NA,NA
"2849",4757,NA,NA
"2850",13327,NA,NA
"2851",2741,NA,NA
"2852",9235,NA,NA
"2853",7705,NA,NA
"2854",10610,NA,NA
"2855",14018,NA,NA
"2856",8962,NA,NA
"2857",9923,NA,NA
"2858",4901,NA,NA
"2859",10127,NA,NA
"2860",12013,NA,NA
"2861",5513,NA,NA
"2862",11303,NA,NA
"2863",12419,NA,NA
"2864",11818,NA,NA
"2865",9152,NA,NA
"2866",2238,NA,NA
"2867",1475,NA,NA
"2868",8595,NA,NA
"2869",12323,NA,NA
"2870",3542,NA,NA
"2871",2133,NA,NA
"2872",14166,NA,NA
"2873",10103,NA,NA
"2874",8647,NA,NA
"2875",2009,NA,NA
"2876",3037,NA,NA
"2877",13541,NA,NA
"2878",7828,NA,NA
"2879",4023,NA,NA
"2880",12747,NA,NA
"2881",14068,NA,NA
"2882",8258,NA,NA
"2883",1851,NA,NA
"2884",10480,NA,NA
"2885",12490,NA,NA
"2886",810,NA,NA
"2887",9296,NA,NA
"2888",9857,NA,NA
"2889",647,NA,NA
"2890",4637,NA,NA
"2891",7209,NA,NA
"2892",750,NA,NA
"2893",779,NA,NA
"2894",9561,NA,NA
"2895",14213,NA,NA
"2896",13689,NA,NA
"2897",9955,NA,NA
"2898",8516,NA,NA
"2899",8139,NA,NA
"2900",12865,NA,NA
"2901",578,NA,NA
"2902",11242,NA,NA
"2903",3482,NA,NA
"2904",11326,NA,NA
"2905",13546,NA,NA
"2906",11823,NA,NA
"2907",2655,NA,NA
"2908",9209,NA,NA
"2909",7373,NA,NA
"2910",2935,NA,NA
"2911",4477,NA,NA
"2912",4618,NA,NA
"2913",729,NA,NA
"2914",12365,NA,NA
"2915",14121,NA,NA
"2916",7456,NA,NA
"2917",6912,NA,NA
"2918",9990,NA,NA
"2919",10558,NA,NA
"2920",8926,NA,NA
"2921",13621,NA,NA
"2922",6700,NA,NA
"2923",2419,NA,NA
"2924",5721,NA,NA
"2925",13329,NA,NA
"2926",8995,NA,NA
"2927",11640,NA,NA
"2928",8334,NA,NA
"2929",11576,NA,NA
"2930",1870,NA,NA
"2931",10564,NA,NA
"2932",8443,NA,NA
"2933",9022,NA,NA
"2934",6139,NA,NA
"2935",134,NA,NA
"2936",8716,NA,NA
"2937",13826,NA,NA
"2938",7943,NA,NA
"2939",12161,NA,NA
"2940",14033,NA,NA
"2941",25,NA,NA
"2942",11240,NA,NA
"2943",14034,NA,NA
"2944",5986,NA,NA
"2945",275,NA,NA
"2946",5113,NA,NA
"2947",178,NA,NA
"2948",2437,NA,NA
"2949",6457,NA,NA
"2950",7195,NA,NA
"2951",4436,NA,NA
"2952",6471,NA,NA
"2953",10605,NA,NA
"2954",463,NA,NA
"2955",11973,NA,NA
"2956",579,NA,NA
"2957",2684,NA,NA
"2958",1759,NA,NA
"2959",8584,NA,NA
"2960",6747,NA,NA
"2961",10051,NA,NA
"2962",10897,NA,NA
"2963",375,NA,NA
"2964",3996,NA,NA
"2965",6598,NA,NA
"2966",11964,NA,NA
"2967",7478,NA,NA
"2968",11762,NA,NA
"2969",6444,NA,NA
"2970",4994,NA,NA
"2971",5526,NA,NA
"2972",4552,NA,NA
"2973",3651,NA,NA
"2974",6253,NA,NA
"2975",4708,NA,NA
"2976",5308,NA,NA
"2977",1930,NA,NA
"2978",9935,NA,NA
"2979",5498,NA,NA
"2980",14112,NA,NA
"2981",3359,NA,NA
"2982",2423,NA,NA
"2983",2420,NA,NA
"2984",5077,NA,NA
"2985",5869,NA,NA
"2986",1444,NA,NA
"2987",5617,NA,NA
"2988",2875,NA,NA
"2989",9520,NA,NA
"2990",6511,NA,NA
"2991",13030,NA,NA
"2992",5017,NA,NA
"2993",280,NA,NA
"2994",6940,NA,NA
"2995",11347,NA,NA
"2996",11315,NA,NA
"2997",11100,NA,NA
"2998",2346,NA,NA
"2999",8859,NA,NA
"3000",8468,NA,NA
"3001",9733,NA,NA
"3002",10239,NA,NA
"3003",6133,NA,NA
"3004",12407,NA,NA
"3005",1509,NA,NA
"3006",9701,NA,NA
"3007",5057,NA,NA
"3008",10064,NA,NA
"3009",3109,NA,NA
"3010",10452,NA,NA
"3011",7998,NA,NA
"3012",5687,NA,NA
"3013",7290,NA,NA
"3014",1294,NA,NA
"3015",3348,NA,NA
"3016",6908,NA,NA
"3017",1928,NA,NA
"3018",8527,NA,NA
"3019",10275,NA,NA
"3020",8500,NA,NA
"3021",11075,NA,NA
"3022",2128,NA,NA
"3023",6170,NA,NA
"3024",3864,NA,NA
"3025",8116,NA,NA
"3026",9367,NA,NA
"3027",9961,NA,NA
"3028",2485,NA,NA
"3029",10254,NA,NA
"3030",8540,NA,NA
"3031",12309,NA,NA
"3032",13771,NA,NA
"3033",6054,NA,NA
"3034",11540,NA,NA
"3035",11525,NA,NA
"3036",13492,NA,NA
"3037",3836,NA,NA
"3038",4755,NA,NA
"3039",2434,NA,NA
"3040",4455,NA,NA
"3041",9224,NA,NA
"3042",9795,NA,NA
"3043",1213,NA,NA
"3044",2705,NA,NA
"3045",2678,NA,NA
"3046",4879,NA,NA
"3047",435,NA,NA
"3048",8121,NA,NA
"3049",14175,NA,NA
"3050",9718,NA,NA
"3051",11065,NA,NA
"3052",6658,NA,NA
"3053",1488,NA,NA
"3054",6577,NA,NA
"3055",2971,NA,NA
"3056",3913,NA,NA
"3057",1496,NA,NA
"3058",2991,NA,NA
"3059",6574,NA,NA
"3060",4603,NA,NA
"3061",1543,NA,NA
"3062",36,NA,NA
"3063",12000,NA,NA
"3064",13560,NA,NA
"3065",1610,NA,NA
"3066",1463,NA,NA
"3067",6689,NA,NA
"3068",659,NA,NA
"3069",11836,NA,NA
"3070",12974,NA,NA
"3071",4391,NA,NA
"3072",179,NA,NA
"3073",7270,NA,NA
"3074",4358,NA,NA
"3075",12953,NA,NA
"3076",13974,NA,NA
"3077",12240,NA,NA
"3078",12075,NA,NA
"3079",284,NA,NA
"3080",4074,NA,NA
"3081",4348,NA,NA
"3082",603,NA,NA
"3083",4309,NA,NA
"3084",1000,NA,NA
"3085",9007,NA,NA
"3086",5267,NA,NA
"3087",10733,NA,NA
"3088",338,NA,NA
"3089",2493,NA,NA
"3090",1069,NA,NA
"3091",10940,NA,NA
"3092",352,NA,NA
"3093",1035,NA,NA
"3094",3455,NA,NA
"3095",2859,NA,NA
"3096",13269,NA,NA
"3097",4332,NA,NA
"3098",10612,NA,NA
"3099",5149,NA,NA
"3100",12149,NA,NA
"3101",4729,NA,NA
"3102",12306,NA,NA
"3103",10611,NA,NA
"3104",10935,NA,NA
"3105",1593,NA,NA
"3106",13502,NA,NA
"3107",4108,NA,NA
"3108",1528,NA,NA
"3109",11657,NA,NA
"3110",14307,NA,NA
"3111",6518,NA,NA
"3112",1365,NA,NA
"3113",9151,NA,NA
"3114",11720,NA,NA
"3115",13649,NA,NA
"3116",3568,NA,NA
"3117",644,NA,NA
"3118",1381,NA,NA
"3119",3225,NA,NA
"3120",1983,NA,NA
"3121",9020,NA,NA
"3122",9969,NA,NA
"3123",12803,NA,NA
"3124",13390,NA,NA
"3125",12279,NA,NA
"3126",6114,NA,NA
"3127",4104,NA,NA
"3128",10797,NA,NA
"3129",9598,NA,NA
"3130",4957,NA,NA
"3131",13681,NA,NA
"3132",5288,NA,NA
"3133",1363,NA,NA
"3134",956,NA,NA
"3135",6892,NA,NA
"3136",922,NA,NA
"3137",7845,NA,NA
"3138",2347,NA,NA
"3139",6495,NA,NA
"3140",6343,NA,NA
"3141",3218,NA,NA
"3142",8615,NA,NA
"3143",13087,NA,NA
"3144",9016,NA,NA
"3145",4376,NA,NA
"3146",2592,NA,NA
"3147",4654,NA,NA
"3148",1808,NA,NA
"3149",4210,NA,NA
"3150",2698,NA,NA
"3151",6849,NA,NA
"3152",8326,NA,NA
"3153",2815,NA,NA
"3154",10482,NA,NA
"3155",809,NA,NA
"3156",10011,NA,NA
"3157",3270,NA,NA
"3158",9976,NA,NA
"3159",1840,NA,NA
"3160",10118,NA,NA
"3161",4778,NA,NA
"3162",5532,NA,NA
"3163",5662,NA,NA
"3164",8226,NA,NA
"3165",6168,NA,NA
"3166",6244,NA,NA
"3167",8399,NA,NA
"3168",2435,NA,NA
"3169",13361,NA,NA
"3170",11537,NA,NA
"3171",6655,NA,NA
"3172",9612,NA,NA
"3173",1948,NA,NA
"3174",9401,NA,NA
"3175",6016,NA,NA
"3176",5678,NA,NA
"3177",9866,NA,NA
"3178",11401,NA,NA
"3179",11912,NA,NA
"3180",8519,NA,NA
"3181",1892,NA,NA
"3182",7408,NA,NA
"3183",11049,NA,NA
"3184",3742,NA,NA
"3185",10448,NA,NA
"3186",13933,NA,NA
"3187",1096,NA,NA
"3188",1730,NA,NA
"3189",12207,NA,NA
"3190",7542,NA,NA
"3191",436,NA,NA
"3192",4554,NA,NA
"3193",955,NA,NA
"3194",5718,NA,NA
"3195",14180,NA,NA
"3196",498,NA,NA
"3197",3181,NA,NA
"3198",9487,NA,NA
"3199",12607,NA,NA
"3200",13248,NA,NA
"3201",4601,NA,NA
"3202",3565,NA,NA
"3203",11163,NA,NA
"3204",4933,NA,NA
"3205",46,NA,NA
"3206",12498,NA,NA
"3207",11787,NA,NA
"3208",3505,NA,NA
"3209",9457,NA,NA
"3210",11858,NA,NA
"3211",888,NA,NA
"3212",6903,NA,NA
"3213",5670,NA,NA
"3214",10105,NA,NA
"3215",727,NA,NA
"3216",13846,NA,NA
"3217",13819,NA,NA
"3218",7906,NA,NA
"3219",8281,NA,NA
"3220",9880,NA,NA
"3221",7552,NA,NA
"3222",6359,NA,NA
"3223",8067,NA,NA
"3224",6352,NA,NA
"3225",4818,NA,NA
"3226",5410,NA,NA
"3227",8943,NA,NA
"3228",1676,NA,NA
"3229",11044,NA,NA
"3230",10525,NA,NA
"3231",1711,NA,NA
"3232",13280,NA,NA
"3233",9742,NA,NA
"3234",7384,NA,NA
"3235",11153,NA,NA
"3236",3959,NA,NA
"3237",627,NA,NA
"3238",13140,NA,NA
"3239",11827,NA,NA
"3240",910,NA,NA
"3241",3649,NA,NA
"3242",4560,NA,NA
"3243",5441,NA,NA
"3244",11983,NA,NA
"3245",5656,NA,NA
"3246",7092,NA,NA
"3247",604,NA,NA
"3248",10091,NA,NA
"3249",13586,NA,NA
"3250",9839,NA,NA
"3251",2905,NA,NA
"3252",11492,NA,NA
"3253",8261,NA,NA
"3254",13188,NA,NA
"3255",8211,NA,NA
"3256",2243,NA,NA
"3257",6567,NA,NA
"3258",9111,NA,NA
"3259",8760,NA,NA
"3260",3258,NA,NA
"3261",7669,NA,NA
"3262",10467,NA,NA
"3263",3248,NA,NA
"3264",13409,NA,NA
"3265",5173,NA,NA
"3266",536,NA,NA
"3267",450,NA,NA
"3268",6780,NA,NA
"3269",6108,NA,NA
"3270",824,NA,NA
"3271",14280,NA,NA
"3272",4857,NA,NA
"3273",8393,NA,NA
"3274",7034,NA,NA
"3275",3948,NA,NA
"3276",4447,NA,NA
"3277",9889,NA,NA
"3278",370,NA,NA
"3279",7862,NA,NA
"3280",2609,NA,NA
"3281",6136,NA,NA
"3282",10831,NA,NA
"3283",13564,NA,NA
"3284",1713,NA,NA
"3285",8125,NA,NA
"3286",13144,NA,NA
"3287",9331,NA,NA
"3288",11046,NA,NA
"3289",13218,NA,NA
"3290",1317,NA,NA
"3291",3627,NA,NA
"3292",9814,NA,NA
"3293",1807,NA,NA
"3294",7500,NA,NA
"3295",8188,NA,NA
"3296",7852,NA,NA
"3297",5647,NA,NA
"3298",677,NA,NA
"3299",9739,NA,NA
"3300",4548,NA,NA
"3301",7412,NA,NA
"3302",3293,NA,NA
"3303",8315,NA,NA
"3304",532,NA,NA
"3305",3730,NA,NA
"3306",13765,NA,NA
"3307",10700,NA,NA
"3308",2007,NA,NA
"3309",13808,NA,NA
"3310",9001,NA,NA
"3311",2132,NA,NA
"3312",13772,NA,NA
"3313",13544,NA,NA
"3314",6989,NA,NA
"3315",9843,NA,NA
"3316",12630,NA,NA
"3317",12874,NA,NA
"3318",6237,NA,NA
"3319",2371,NA,NA
"3320",6112,NA,NA
"3321",313,NA,NA
"3322",2016,NA,NA
"3323",10557,NA,NA
"3324",3053,NA,NA
"3325",3038,NA,NA
"3326",13163,NA,NA
"3327",7557,NA,NA
"3328",5242,NA,NA
"3329",14005,NA,NA
"3330",11134,NA,NA
"3331",9189,NA,NA
"3332",11136,NA,NA
"3333",7335,NA,NA
"3334",6640,NA,NA
"3335",9165,NA,NA
"3336",3724,NA,NA
"3337",9051,NA,NA
"3338",7934,NA,NA
"3339",7997,NA,NA
"3340",8726,NA,NA
"3341",13969,NA,NA
"3342",6426,NA,NA
"3343",4789,NA,NA
"3344",12060,NA,NA
"3345",13764,NA,NA
"3346",11101,NA,NA
"3347",6322,NA,NA
"3348",10008,NA,NA
"3349",9682,NA,NA
"3350",3133,NA,NA
"3351",3019,NA,NA
"3352",5546,NA,NA
"3353",12389,NA,NA
"3354",8562,NA,NA
"3355",12480,NA,NA
"3356",9628,NA,NA
"3357",2194,NA,NA
"3358",3531,NA,NA
"3359",3285,NA,NA
"3360",1289,NA,NA
"3361",7201,NA,NA
"3362",8173,NA,NA
"3363",5606,NA,NA
"3364",1918,NA,NA
"3365",10226,NA,NA
"3366",12819,NA,NA
"3367",9698,NA,NA
"3368",10447,NA,NA
"3369",8490,NA,NA
"3370",11969,NA,NA
"3371",4965,NA,NA
"3372",8253,NA,NA
"3373",9469,NA,NA
"3374",10079,NA,NA
"3375",7574,NA,NA
"3376",301,NA,NA
"3377",2093,NA,NA
"3378",9643,NA,NA
"3379",13481,NA,NA
"3380",8670,NA,NA
"3381",7984,NA,NA
"3382",9930,NA,NA
"3383",13153,NA,NA
"3384",12165,NA,NA
"3385",7333,NA,NA
"3386",1766,NA,NA
"3387",4090,NA,NA
"3388",13562,NA,NA
"3389",3398,NA,NA
"3390",10812,NA,NA
"3391",13375,NA,NA
"3392",4185,NA,NA
"3393",11154,NA,NA
"3394",1465,NA,NA
"3395",13479,NA,NA
"3396",8051,NA,NA
"3397",7978,NA,NA
"3398",9626,NA,NA
"3399",5973,NA,NA
"3400",4322,NA,NA
"3401",3297,NA,NA
"3402",10044,NA,NA
"3403",3501,NA,NA
"3404",9758,NA,NA
"3405",8956,NA,NA
"3406",9434,NA,NA
"3407",8030,NA,NA
"3408",5799,NA,NA
"3409",6019,NA,NA
"3410",1845,NA,NA
"3411",691,NA,NA
"3412",6103,NA,NA
"3413",13753,NA,NA
"3414",13229,NA,NA
"3415",10479,NA,NA
"3416",9505,NA,NA
"3417",4143,NA,NA
"3418",9304,NA,NA
"3419",5569,NA,NA
"3420",10442,NA,NA
"3421",1707,NA,NA
"3422",2173,NA,NA
"3423",13865,NA,NA
"3424",13204,NA,NA
"3425",2955,NA,NA
"3426",14242,NA,NA
"3427",225,NA,NA
"3428",999,NA,NA
"3429",9568,NA,NA
"3430",8244,NA,NA
"3431",2923,NA,NA
"3432",14000,NA,NA
"3433",12515,NA,NA
"3434",8358,NA,NA
"3435",5467,NA,NA
"3436",4387,NA,NA
"3437",7470,NA,NA
"3438",14278,NA,NA
"3439",1805,NA,NA
"3440",3852,NA,NA
"3441",3017,NA,NA
"3442",10813,NA,NA
"3443",10015,NA,NA
"3444",8633,NA,NA
"3445",6418,NA,NA
"3446",5258,NA,NA
"3447",410,NA,NA
"3448",1253,NA,NA
"3449",4236,NA,NA
"3450",8852,NA,NA
"3451",6416,NA,NA
"3452",2376,NA,NA
"3453",4111,NA,NA
"3454",9208,NA,NA
"3455",6456,NA,NA
"3456",9450,NA,NA
"3457",3103,NA,NA
"3458",6758,NA,NA
"3459",556,NA,NA
"3460",8328,NA,NA
"3461",2603,NA,NA
"3462",2486,NA,NA
"3463",123,NA,NA
"3464",4125,NA,NA
"3465",4748,NA,NA
"3466",11866,NA,NA
"3467",10846,NA,NA
"3468",8909,NA,NA
"3469",3324,NA,NA
"3470",10819,NA,NA
"3471",12906,NA,NA
"3472",5612,NA,NA
"3473",11357,NA,NA
"3474",1166,NA,NA
"3475",4428,NA,NA
"3476",9222,NA,NA
"3477",3155,NA,NA
"3478",7558,NA,NA
"3479",12647,NA,NA
"3480",14062,NA,NA
"3481",10736,NA,NA
"3482",12725,NA,NA
"3483",7638,NA,NA
"3484",5366,NA,NA
"3485",4866,NA,NA
"3486",13317,NA,NA
"3487",7399,NA,NA
"3488",9691,NA,NA
"3489",688,NA,NA
"3490",4134,NA,NA
"3491",14082,NA,NA
"3492",8028,NA,NA
"3493",3635,NA,NA
"3494",8136,NA,NA
"3495",983,NA,NA
"3496",11190,NA,NA
"3497",1514,NA,NA
"3498",3457,NA,NA
"3499",9863,NA,NA
"3500",11355,NA,NA
"3501",11369,NA,NA
"3502",929,NA,NA
"3503",11184,NA,NA
"3504",6371,NA,NA
"3505",2315,NA,NA
"3506",1811,NA,NA
"3507",6240,NA,NA
"3508",8496,NA,NA
"3509",8107,NA,NA
"3510",3537,NA,NA
"3511",2124,NA,NA
"3512",1915,NA,NA
"3513",9644,NA,NA
"3514",13799,NA,NA
"3515",8092,NA,NA
"3516",12229,NA,NA
"3517",4854,NA,NA
"3518",11820,NA,NA
"3519",4907,NA,NA
"3520",13871,NA,NA
"3521",11629,NA,NA
"3522",13791,NA,NA
"3523",7403,NA,NA
"3524",6952,NA,NA
"3525",7579,NA,NA
"3526",9074,NA,NA
"3527",9786,NA,NA
"3528",13696,NA,NA
"3529",12213,NA,NA
"3530",9402,NA,NA
"3531",11213,NA,NA
"3532",11563,NA,NA
"3533",10533,NA,NA
"3534",7743,NA,NA
"3535",11966,NA,NA
"3536",7121,NA,NA
"3537",2129,NA,NA
"3538",7447,NA,NA
"3539",11449,NA,NA
"3540",13256,NA,NA
"3541",13863,NA,NA
"3542",426,NA,NA
"3543",9674,NA,NA
"3544",5253,NA,NA
"3545",6636,NA,NA
"3546",7854,NA,NA
"3547",958,NA,NA
"3548",1640,NA,NA
"3549",11886,NA,NA
"3550",2300,NA,NA
"3551",12903,NA,NA
"3552",2512,NA,NA
"3553",6086,NA,NA
"3554",8091,NA,NA
"3555",3617,NA,NA
"3556",5062,NA,NA
"3557",13651,NA,NA
"3558",2694,NA,NA
"3559",4644,NA,NA
"3560",3720,NA,NA
"3561",4500,NA,NA
"3562",13998,NA,NA
"3563",2249,NA,NA
"3564",5763,NA,NA
"3565",7432,NA,NA
"3566",4613,NA,NA
"3567",14196,NA,NA
"3568",3921,NA,NA
"3569",92,NA,NA
"3570",9103,NA,NA
"3571",11546,NA,NA
"3572",11926,NA,NA
"3573",14050,NA,NA
"3574",7088,NA,NA
"3575",1673,NA,NA
"3576",13818,NA,NA
"3577",13403,NA,NA
"3578",5341,NA,NA
"3579",3410,NA,NA
"3580",5371,NA,NA
"3581",8777,NA,NA
"3582",6383,NA,NA
"3583",7383,NA,NA
"3584",851,NA,NA
"3585",4751,NA,NA
"3586",5104,NA,NA
"3587",4218,NA,NA
"3588",5551,NA,NA
"3589",11172,NA,NA
"3590",9036,NA,NA
"3591",10149,NA,NA
"3592",11098,NA,NA
"3593",4888,NA,NA
"3594",7610,NA,NA
"3595",3014,NA,NA
"3596",3470,NA,NA
"3597",9700,NA,NA
"3598",10076,NA,NA
"3599",4330,NA,NA
"3600",13864,NA,NA
"3601",11775,NA,NA
"3602",6429,NA,NA
"3603",8939,NA,NA
"3604",3961,NA,NA
"3605",10410,NA,NA
"3606",8199,NA,NA
"3607",4277,NA,NA
"3608",10739,NA,NA
"3609",3743,NA,NA
"3610",10392,NA,NA
"3611",6791,NA,NA
"3612",6099,NA,NA
"3613",1790,NA,NA
"3614",8901,NA,NA
"3615",14069,NA,NA
"3616",467,NA,NA
"3617",2010,NA,NA
"3618",13258,NA,NA
"3619",8575,NA,NA
"3620",5720,NA,NA
"3621",3830,NA,NA
"3622",8212,NA,NA
"3623",9924,NA,NA
"3624",12160,NA,NA
"3625",6117,NA,NA
"3626",12615,NA,NA
"3627",3483,NA,NA
"3628",11278,NA,NA
"3629",5314,NA,NA
"3630",10692,NA,NA
"3631",10054,NA,NA
"3632",13732,NA,NA
"3633",13434,NA,NA
"3634",13527,NA,NA
"3635",6826,NA,NA
"3636",2109,NA,NA
"3637",7762,NA,NA
"3638",3127,NA,NA
"3639",12246,NA,NA
"3640",12961,NA,NA
"3641",974,NA,NA
"3642",9157,NA,NA
"3643",4227,NA,NA
"3644",13615,NA,NA
"3645",653,NA,NA
"3646",7120,NA,NA
"3647",2720,NA,NA
"3648",3377,NA,NA
"3649",4020,NA,NA
"3650",122,NA,NA
"3651",8860,NA,NA
"3652",8948,NA,NA
"3653",6562,NA,NA
"3654",9370,NA,NA
"3655",1361,NA,NA
"3656",102,NA,NA
"3657",2477,NA,NA
"3658",9792,NA,NA
"3659",5236,NA,NA
"3660",7711,NA,NA
"3661",5416,NA,NA
"3662",5447,NA,NA
"3663",7085,NA,NA
"3664",13677,NA,NA
"3665",7410,NA,NA
"3666",1763,NA,NA
"3667",3993,NA,NA
"3668",738,NA,NA
"3669",9840,NA,NA
"3670",11724,NA,NA
"3671",4838,NA,NA
"3672",763,NA,NA
"3673",8419,NA,NA
"3674",12758,NA,NA
"3675",7118,NA,NA
"3676",13408,NA,NA
"3677",4859,NA,NA
"3678",11675,NA,NA
"3679",13451,NA,NA
"3680",11814,NA,NA
"3681",3985,NA,NA
"3682",3514,NA,NA
"3683",10328,NA,NA
"3684",11152,NA,NA
"3685",3430,NA,NA
"3686",2537,NA,NA
"3687",14239,NA,NA
"3688",8629,NA,NA
"3689",12274,NA,NA
"3690",2089,NA,NA
"3691",11572,NA,NA
"3692",1778,NA,NA
"3693",10725,NA,NA
"3694",12724,NA,NA
"3695",12329,NA,NA
"3696",2172,NA,NA
"3697",11928,NA,NA
"3698",11015,NA,NA
"3699",9321,NA,NA
"3700",4995,NA,NA
"3701",4269,NA,NA
"3702",8765,NA,NA
"3703",196,NA,NA
"3704",11726,NA,NA
"3705",11844,NA,NA
"3706",5784,NA,NA
"3707",10737,NA,NA
"3708",6258,NA,NA
"3709",9145,NA,NA
"3710",5169,NA,NA
"3711",10719,NA,NA
"3712",2370,NA,NA
"3713",1691,NA,NA
"3714",13585,NA,NA
"3715",5907,NA,NA
"3716",14153,7675,NA
"3717",13603,254,NA
"3718",11387,14259,NA
"3719",1419,1225,NA
"3720",12336,12944,NA
"3721",10895,4639,NA
"3722",4180,14249,NA
"3723",3397,10514,NA
"3724",11018,14249,NA
"3725",5848,2310,NA
"3726",6575,4139,NA
"3727",6703,8267,NA
"3728",6050,10426,NA
"3729",12457,276,NA
"3730",395,4598,NA
"3731",7426,13864,NA
"3732",6162,7565,NA
"3733",3842,14041,NA
"3734",8398,12091,NA
"3735",14232,5607,NA
"3736",6779,7100,NA
"3737",9823,8826,NA
"3738",6670,7100,NA
"3739",1558,3802,NA
"3740",7726,6930,NA
"3741",6897,1142,NA
"3742",12199,445,NA
"3743",11528,10639,NA
"3744",11513,276,NA
"3745",4900,10514,12310
"3746",10348,NA,13141
"3747",5084,2310,13183
"3748",7596,NA,8423
"3749",6586,6930,5147
"3750",947,10514,NA
"3751",1949,2310,NA
"3752",4301,276,NA
"3753",8317,276,NA
"3754",12869,6930,NA
"3755",1989,1120,NA
"3756",11119,276,NA
"3757",5895,NA,9
"3758",4659,NA,968
"3759",4869,2310,NA
"3760",324,NA,5695
"3761",12871,NA,10304
"3762",3096,6930,NA
"3763",11501,276,NA
"3764",11959,NA,1690
"3765",11142,NA,11076
"3766",6683,NA,11494
"3767",10499,NA,1257
"3768",3541,NA,5766
"3769",4686,NA,13141
"3770",815,NA,968
"3771",6129,NA,6399
"3772",11613,NA,6695
"3773",13270,NA,4365
"3774",9554,NA,2702
"3775",12550,NA,3476
"3776",10708,NA,11496
"3777",3719,NA,13364
"3778",5789,NA,13364
"3779",4022,NA,10831
"3780",8784,NA,11620
"3781",6402,NA,2750
"3782",1322,NA,6991
"3783",3868,NA,4651
"3784",2475,NA,2848
"3785",7685,NA,6492
"3786",887,NA,1807
"3787",10992,NA,11846
"3788",14028,7100,6045
"3789",1460,6930,13057
"3790",1197,NA,6818
"3791",9369,NA,4651
"3792",11155,1120,NA
"3793",651,NA,2735
"3794",11,NA,6250
"3795",10016,NA,14121
"3796",3070,13310,6912
"3797",11206,NA,6912
"3798",3722,7556,NA
"3799",14209,NA,2439
"3800",11555,NA,2905
"3801",416,7229,2935
"3802",5554,NA,8334
"3803",7893,8826,NA
"3804",11708,5877,9602
"3805",10166,10036,4984
"3806",6009,7140,12283
