"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"2668",2114,0,1995,"s","LBS","poisson",0,1,0,-77.0286458333333
"2675",9608,1,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2693",1841,0,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2707",9816,0,1995,"s","LBS","poisson",0,1,0,-77.0286458333333
"2741",640,1,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2767",4402,0,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2769",10112,6,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2770",6210,2,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2772",954,38,1995,"s","LBS","poisson",0,1,0,-77.0286458333333
"2785",13007,0,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2788",8962,1,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2789",13074,3,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2797",9967,4,1992,"s","LBS","poisson",0,1,0,-113.028645833333
"2808",6052,1,1995,"s","LBS","poisson",0,1,0,-77.0286458333333
"2810",530,3,1995,"s","LBS","poisson",0,1,0,-77.0286458333333
"2816",4396,0,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2852",13178,8,1992,"s","LBS","poisson",0,0,0,-113.028645833333
"2853",12607,11,1992,"s","LBS","poisson",0,0,0,-113.028645833333
"2859",3507,0,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2861",12657,3,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2874",5562,55,1989,"s","LBS","poisson",0,0,0,-223.028645833333
"2877",2068,0,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2881",10146,14,1993,"s","LBS","poisson",0,0,0,8.97135416666669
"2902",12841,15,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2913",1245,15,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"2914",2173,3,1992,"s","LBS","poisson",0,0,0,-113.028645833333
"3002",12740,25,1992,"s","LBS","poisson",0,0,0,-113.028645833333
"3024",6912,0,1993,"s","LBS","poisson",0,1,0,8.97135416666669
"3032",5025,0,1994,"s","LBS","poisson",0,0,0,0.971354166666686
"3059",13521,1,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"3062",437,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3063",12752,16,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3064",3806,0,1996,"s","LBS","poisson",0,1,0,140.971354166667
"3067",13985,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3069",6342,1,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3070",1120,2,1996,"s","LBS","poisson",0,1,0,140.971354166667
"3071",12608,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3197",3073,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
