"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"1518",10354,0,1990,"s","LBS","poisson",0,0,0,-121.930787589499
"1519",9765,1,1990,"s","LBS","poisson",0,0,0,-121.930787589499
"1632",9482,5,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1664",13084,0,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1665",7402,0,1991,"s","LBS","poisson",0,1,0,2.06921241050117
"1670",5205,1,1990,"s","LBS","poisson",0,0,0,-121.930787589499
"1675",3910,11,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1731",5102,0,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1733",11579,1,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1734",6108,30,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1787",9509,1,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1788",1546,1,1991,"s","LBS","poisson",0,1,0,2.06921241050117
"1789",4341,2,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1797",12400,3,1991,"s","LBS","poisson",0,0,0,2.06921241050117
"1887",9732,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1890",9421,13,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1891",9760,4,1992,"s","LBS","poisson",0,1,0,-90.9307875894988
"1892",6370,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1893",5931,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1921",12562,8,1987,"s","LBS","poisson",0,0,0,-80.9307875894988
"1932",8413,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1939",827,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1941",1769,1,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1944",12607,11,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1948",13307,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1972",3597,2,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"1999",1490,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2000",12740,25,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2007",3238,2,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2009",2541,14,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2011",3595,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2021",11867,0,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
