"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"769",6893,1,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"771",10049,8,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1013",9861,6,1987,"s","LBS","poisson",0,2,1,0,-98.0648221343873
"1019",955,13,1987,"s","LBS","poisson",0,2,0,0,-98.0648221343873
"1021",3773,2,1988,"s","LBS","poisson",0,1,1,0,27.9351778656127
"1036",6061,11,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1041",2132,8,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1046",8610,11,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1096",6570,9,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1098",207,5,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1099",8958,12,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1100",11954,3,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1101",4974,3,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1105",1996,13,1987,"s","LBS","poisson",0,1,1,0,-98.0648221343873
"1106",12282,9,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1109",8950,17,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1110",13315,1,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1125",12175,9,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1126",4072,2,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1127",12317,1,1989,"s","LBS","poisson",0,1,1,0,-218.064822134387
"1128",2803,5,1989,"s","LBS","poisson",0,2,1,0,-218.064822134387
"1129",14112,6,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1130",11590,6,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1146",3610,49,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1147",7338,9,1989,"s","LBS","poisson",0,1,1,0,-218.064822134387
"1148",10456,8,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1152",2562,8,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1158",11979,3,1988,"s","LBS","poisson",0,2,0,0,27.9351778656127
"1159",7267,2,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1161",10095,7,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1169",4666,19,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1170",4932,7,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1180",12918,15,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1181",13506,7,1989,"s","LBS","poisson",0,1,1,0,-218.064822134387
"1182",11699,10,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1188",3293,0,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1189",3991,0,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1202",5780,9,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
