"","ID","LambAugWeight","LambHindLeg","LambHornLen","LambBolCirc","Sex","PopDensBirth","MumAge","Twin","CapJDate"
"7921",2111,10.05,148,62,160,2,671,2,0,224
"7546",8774,7.7,140,80,115,2,494,1,0,224
"8032",846,12.35,161,127,176,2,671,2,0,224
"9725",2881,11.8,155,NA,NA,1,672,8,0,221
"9002",9218,13.1,150,155,204,2,567,6,0,218
"7867",10534,9.15,145,121,183,2,671,2,0,224
"7894",12270,12.95,166,162,211,2,671,2,0,224
"8938",10088,16.3,172,178,210,2,567,6,0,219
"9212",11473,16.4,164,184,225,2,617,7,0,224
"10474",7684,10.6,153,NA,NA,1,649,9,0,222
"8206",2308,10.65,125,103,186,2,405,3,0,223
"7825",5334,12.6,157,144,205,2,671,2,0,232
"8867",5341,16.8,173,165,234,2,567,6,0,222
"9221",3136,14.5,161,189,216,2,617,7,0,230
"8961",6715,13.9,171,99,175,2,567,6,0,218
"7789",10892,11.2,149,63,175,2,671,2,0,230
"8644",1798,13.9,164,NA,204,2,447,5,0,225
"7624",13107,10.35,148,118,155,2,494,1,0,224
"8595",10669,12.2,155,NA,227,2,447,5,0,221
"8077",12260,8.3,148,42,130,2,671,2,0,224
"8337",9593,10.25,149,133,170,2,405,3,0,223
"8544",13896,13.65,164,144,208,2,467,4,0,220
"7714",9818,8.95,140,NA,NA,1,494,1,0,227
"8694",13804,11.9,157,57,208,2,447,5,0,221
"9131",7990,14.5,161,138,210,2,617,7,0,224
"9467",8094,10.9,152,95,175,2,672,8,0,221
"8440",1465,17,169,138,240,2,467,6,0,228
"8642",7918,15.5,165,157,206,2,447,7,0,227
"9445",11153,14.7,165,144,215,2,672,9,0,230
"7330",9149,8.8,144,NA,NA,1,335,1,0,229
"8997",6237,15.1,169,133,208,2,567,7,0,222
"8845",10105,16.5,185,126,201,2,567,5,0,219
"9693",11305,12.2,162,NA,NA,1,672,7,0,223
"9100",9235,13,157,NA,NA,1,567,5,0,225
"9144",13810,16.2,171,161,229,2,617,6,0,229
"8428",12469,16.5,167,119,228,2,467,3,0,228
"8670",40,15.7,182,168,241,2,447,4,0,221
"8530",5350,13.5,160,78,192,2,467,3,0,220
"10334",8698,14.2,167,95,190,2,649,8,0,222
"8232",262,10.1,149,108,172,2,405,2,0,231
"8737",13299,16.5,175,163,239,2,447,4,0,221
"9348",1154,14.5,164,NA,NA,1,617,6,0,229
"8467",11364,11.85,162,65,206,2,467,3,0,223
"8714",300,11.9,161,50,185,2,447,4,0,225
"8919",8628,17.25,176,NA,237,2,567,5,0,225
"8212",13766,7.9,134,104,135,2,405,2,0,223
"9262",11250,16.2,174,98,200,2,617,6,0,223
"10333",1605,13.5,169,98,155,2,649,8,0,222
"10779",13162,14.5,168,NA,NA,1,362,9,0,226
"11862",4321,13.5,164,NA,NA,1,482,11,0,220
"12293",9014,12.25,159,NA,175,2,513,12,0,221
"12866",4991,12.45,164,NA,105,2,528,14,0,223
"8487",4214,14.9,165,150,214,2,467,3,0,228
"8792",6842,2.9,124,NA,NA,1,447,4,0,221
"8529",10075,13.45,165,110,218,2,467,3,0,220
"8741",11430,13.8,175,77,212,2,447,4,0,221
"8803",3325,11.1,161,NA,NA,1,447,4,0,227
"9347",13492,16.7,176,108,239,2,617,6,0,229
"9702",8955,15.9,170,NA,NA,1,672,7,0,228
"10482",2823,15.8,170,121,225,2,649,8,0,226
"8683",10410,14.7,168,NA,218,2,447,4,0,225
"7977",10970,9.45,148,NA,135,2,671,1,0,224
"8492",11558,14.6,168,153,223,2,467,3,0,220
"10308",111,12.2,159,143,205,2,649,8,0,222
"8491",12604,12.15,171,130,207,2,467,3,0,220
"8333",516,12.4,162,NA,NA,1,405,2,0,223
"11217",3913,17.2,159,111,215,2,545,10,0,217
"9064",5666,16.4,173,NA,210,2,567,5,0,218
"10810",7101,12.6,156,NA,NA,1,362,9,0,226
"8896",2635,14.2,166,160,192,2,567,5,0,225
"9189",11242,13.5,159,122,192,2,617,6,0,229
"9536",10142,10.7,151,65,135,2,672,7,0,221
"8505",648,15.05,171,151,219,2,467,3,0,220
"9245",12514,16,174,196,240,2,617,6,0,224
"9724",5294,13,170,168,185,2,672,7,0,221
"8655",4386,13.5,164,131,224,2,447,4,0,221
"8374",12343,12.75,155,156,186,2,467,3,0,223
"8474",3207,11.35,158,142,199,2,467,3,0,220
"8080",794,8.6,138,104,137,2,671,1,0,230
"10368",11644,15.1,167,140,220,2,649,8,0,226
"11111",12049,17.45,171,170,255,2,545,10,0,231
"8981",1744,15.1,167,166,196,2,567,5,0,225
"8194",11831,13.75,158,160,218,2,405,2,0,231
"9461",2074,14.8,161,179,240,2,672,7,0,230
"11884",3367,9.95,151,NA,NA,1,482,11,0,223
"9254",12427,15,170,157,194,2,617,6,0,229
"8710",7792,14,167,155,190,2,447,4,0,225
"8427",429,12,154,124,211,2,467,3,0,224
"9344",11027,12.6,160,119,180,2,617,6,0,224
"8611",10743,7,138,34,135,2,447,4,0,221
"9263",3247,15,164,172,210,2,617,6,0,224
"9551",8414,11.7,159,130,160,2,672,7,0,221
"7976",2469,6.75,141,82,128,2,671,1,0,224
"8547",5712,16.4,164,140,240,2,467,3,0,228
"9704",681,14.2,167,152,215,2,672,7,0,228
"8197",10493,13.6,151,148,227,2,405,2,0,223
"10244",9362,16.3,168,134,200,2,649,8,0,222
"10722",8062,17.7,170,143,255,2,362,9,0,228
"8072",12959,8.1,141,NA,NA,1,671,1,0,224
"8470",5485,9.4,142,100,182,2,467,2,0,223
"8889",10869,17.1,168,190,227,2,567,4,0,218
"9352",1032,13.3,168,NA,NA,1,617,5,0,229
"9506",1134,12,149,136,180,2,672,6,0,221
"8708",2758,14.7,174,155,206,2,447,3,0,225
"8976",3040,12.2,163,112,161,2,567,4,0,218
"9555",10490,9.3,150,64,130,2,672,6,0,221
"9572",12082,17,173,159,230,2,672,6,0,228
"8920",5954,12.4,162,163,164,2,567,3,0,218
"9719",10808,14.8,168,173,210,2,672,5,0,230
"8932",3657,13.9,161,96,199,2,567,3,0,225
"12181",11233,5.75,128,NA,NA,1,513,10,0,221
"8983",12955,13.1,163,144,220,2,567,3,0,218
"10262",6665,13.3,167,NA,210,2,649,6,0,222
"9081",1754,9.8,161,79,112,2,567,3,0,222
"9346",11207,10.7,157,NA,NA,1,617,4,0,229
"9498",8230,16,177,165,195,2,672,5,0,230
"9705",12750,13.3,166,NA,NA,1,672,5,0,228
"10961",12122,13.5,153,NA,NA,1,362,7,0,228
"11871",12062,12.7,151,98,165,2,482,9,0,230
"9339",644,16.1,171,NA,215,2,617,4,0,223
"9726",7989,11.4,158,95,155,2,672,5,0,221
"10276",12461,15.6,173,173,205,2,649,6,0,222
"11053",2005,13.05,171,165,200,2,545,8,0,223
"9569",10382,13.3,162,125,180,2,672,5,0,221
"11039",4679,13.7,167,65,190,2,545,8,0,226
"8957",9780,13.9,152,125,208,2,567,3,0,218
"9207",1672,12.4,152,80,143,2,617,4,0,229
"10255",9908,10.5,147,68,175,2,649,6,0,222
"11739",2602,11,146,35,150,2,482,9,0,220
"9211",10390,15.5,171,73,215,2,617,4,0,223
"9722",6139,12.8,166,95,205,2,672,5,0,221
"9168",8853,14.6,171,128,215,2,617,4,0,223
"10480",10659,14.9,164,132,215,2,649,6,0,226
"9104",331,8.5,147,NA,NA,1,567,2,0,225
"9350",9915,7.7,152,NA,NA,1,617,3,0,229
"8985",10214,12.4,160,71,190,2,567,2,0,218
"10237",3892,14.2,162,134,225,2,649,5,0,222
"10729",1478,13.1,159,NA,NA,1,362,6,0,226
"11018",10930,14.45,162,NA,NA,1,545,7,0,223
"11771",4213,10.8,148,NA,NA,1,482,8,0,220
"12415",12096,12.75,167,93,180,2,513,9,0,218
