"","id","animal","time","y","Twin","Sex","Horn","BirthYear","PopDensBirth","MumID","jdate","PopDensCap","CapAgeYears","horngeno","trait","measure","family","MumAge","PopDens","AgeMC","jdateMC","MumAgeMC","PopDensMC"
"1",2507,2507,0,1,0,2,3,1986,211,7405,0,NA,0,NA,"s","S1","threshold",1,211,0,0,-3.69617732943987,-284.010419105596
"5",9727,9727,0,1,0,2,3,1987,331,5775,0,NA,0,NA,"s","S1","threshold",1,331,0,0,-3.69617732943987,-164.010419105596
"6",2631,2631,0,1,0,2,1,1987,331,13886,0,NA,0,NA,"s","S1","threshold",2,331,0,0,-2.69617732943987,-164.010419105596
"7",12218,12218,0,1,0,2,3,1987,331,4217,0,NA,0,NA,"s","S1","threshold",1,331,0,0,-3.69617732943987,-164.010419105596
"9",12110,12110,0,1,0,2,3,1987,331,14266,0,NA,0,NA,"s","S1","threshold",1,331,0,0,-3.69617732943987,-164.010419105596
"12",13153,13153,0,1,0,2,3,1989,211,13730,0,NA,0,NA,"s","S1","threshold",3,211,0,0,-1.69617732943987,-284.010419105596
"13",841,841,0,1,0,2,3,1989,211,8855,0,NA,0,NA,"s","S1","threshold",4,211,0,0,-0.696177329439872,-284.010419105596
"16",6320,6320,0,1,0,2,1,1990,290,3045,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-205.010419105596
"19",7191,7191,0,1,0,2,3,1990,290,1342,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-205.010419105596
"21",12250,12250,0,1,0,2,3,1990,290,6595,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-205.010419105596
"25",4979,4979,0,1,0,2,1,1990,290,8376,0,NA,0,NA,"s","S1","threshold",3,290,0,0,-1.69617732943987,-205.010419105596
"34",3273,3273,0,1,0,2,3,1990,290,1170,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-205.010419105596
"35",4364,4364,0,1,0,2,3,1990,290,8563,0,NA,0,NA,"s","S1","threshold",1,290,0,0,-3.69617732943987,-205.010419105596
"36",2648,2648,0,1,0,2,3,1990,290,9237,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-205.010419105596
"37",4725,4725,0,1,1,2,3,1990,290,6050,0,NA,0,NA,"s","S1","threshold",3,290,0,0,-1.69617732943987,-205.010419105596
"41",13210,13210,0,1,0,2,3,1990,290,2781,0,NA,0,NA,"s","S1","threshold",2,290,0,0,-2.69617732943987,-205.010419105596
"42",5099,5099,0,1,1,2,3,1990,290,3678,0,NA,0,NA,"s","S1","threshold",4,290,0,0,-0.696177329439872,-205.010419105596
